評論,tokens
"家中洗髮產品使用完畢，
想到UrCosme擁有好評的「九蒸九曝髮翳淨髮精華露」，
立馬入手兩瓶，首先香氣是我喜歡的植物系，
清新的草葉香氣讓洗髮過程放鬆身心，
質地輕盈的洗髮露，
壓一次的用量(上圖左)添適量水就能在掌心搓出豐富泡沫，
按摩頭皮及髮絲時泡沫量有減少，
需要再添些洗髮露潔淨髮絲，
中長髮使用量需要按壓2-3次的用量，
沖淨的過程迅速，且髮絲不會有泡沫殘餘感，
使用後頭皮潔淨清爽，髮絲柔亮。","['完畢', '想到', 'UrCosme', '好評', '曝髮翳', '淨髮', '精華露', '立馬', '入手', '首先', '香氣', '植物系', '清新', '草葉', '香氣', '過程', '放鬆', '身心', '質地', '輕盈', '用量', '上圖', '適量', '掌心', '搓出', '豐富', '泡沫', '按摩', '頭皮', '髮絲', '泡沫量', '減少', '潔淨', '髮絲', '長髮', '使用量', '用量', '沖淨', '過程', '迅速', '髮絲', '泡沫', '殘餘感', '頭皮', '潔淨', '清爽', '髮絲', '柔亮']"
"感謝urcosme的試用品！
剛好這陣子需要更換洗髮產品，就抽中了這項產品，對於通勤族或頭皮比較油的人來說，洗髮產品的挑選非常重要。
收到這項產品時，有別於洗髮產品，瓶罐的設計很輕巧，綠色的整體形象看起來非常的清爽，壓頭還蠻容易取用的，一次下壓的份量剛剛好使用，整個瓶罐的設計非常輕巧。
這款洗髮精的味道非常的草本味，其實有點不太能適應！
是真的味道蠻特別的，他寫金縷梅＋檸檬草，質地非常的滑順，基本上壓一次就可以洗整顆頭，蠻容易洗出泡沫的，在按摩頭皮的時候，可以感受到他的微涼感。
的確洗完之後，頭皮的異味有","['更換', '通勤族', '頭皮', '挑選', '重要', '有別於', '瓶罐', '設計', '輕巧', '綠色', '整體', '形象', '看起來', '清爽', '壓頭', '取用', '下壓', '份量', '剛剛', '瓶罐', '設計', '輕巧', '味道', '草本味', '其實', '適應', '味道', '金縷梅', '檸檬草', '質地', '滑順', '基本', '洗出', '泡沫', '按摩', '頭皮', '感受到', '涼感', '的確', '頭皮', '異味']"
"AQUAIR新品包裝色彩也太可愛了，
前一次上市的藍色包裝瞬護賦活系列還沒用完，
就出了這樣的一個粉色瞬耀護色系列，
洗髮精有保濕和控油兩種可選，
我入手了控油洗髮精，
完全就是因為包裝而買，
本身洗髮精的味道偏花香，
香精味道比較濃郁，
嗅覺有點遲鈍，
AQUAIR全系列的香氛好像幾乎一樣，
起泡容易保濕效果很好，
控油效果我覺得可以再加強些，
護色的感受我體驗不出來，
目前還沒有想要染髮，
這部分我只好請我妹幫我試試囉。","['AQUAIR', '新品', '包裝', '色彩', '可愛', '上市', '藍色', '包裝', '賦活', '用完', '這樣', '粉色', '瞬耀', '護色', '保濕', '控油', '入手', '控油', '完全', '就是', '包裝', '味道', '偏花香', '香精', '味道', '濃郁', '嗅覺', '遲鈍', 'AQUAIR', '香氛', '好像', '起泡', '保濕', '控油', '加強', '護色', '感受', '體驗', '目前', '想要', '染髮', '只好']"
"看了FB廣告腦波弱而下單的洗髮露
好險沒有踩雷
首先要大大稱讚的是它的玫！瑰！香！
是我少數聞過覺得最接近真實玫瑰純露的香味，花香中帶有一點草本香
不是一般那種廉價玫瑰味，怎麼聞都不膩
雖然是保濕型的洗髮露
但洗感很清爽，很好沖乾淨同時也不會悶頭皮
即使不潤髮，頭髮也維持一點光澤感
算表現超乎我預料的洗髮露","['FB', '廣告', '腦波', '下單', '好險', '踩雷', '首先', '大大', '稱讚', '玫瑰香', '接近', '真實', '玫瑰', '純露', '香味', '花香', '帶有', '草本', '廉價', '玫瑰味', '怎麼', '保濕型', '洗感', '清爽', '乾淨', '同時', '頭皮', '潤髮', '維持', '光澤感算', '表現', '超乎', '預料']"
"麗仕LUX除了我們熟知的平價的洗護產品外
近年來也推出了不同系列，如同沙龍級的洗護產品，而價格路份算是相當親民
最新推出的LUX Hair Supplement 髮の補給機能飲系列
此系列產品除了是日本製外，它可是由日本職人以黃金比例複合式胺基酸
為秀髮訂製的蛋白胺基酸機能飲，為給予受損髮質髮的補給
讓每吋髮絲都能獲得營養、修護哦！
大家知道髮絲87%是由蛋白質組成的嗎？
但造成蛋白質流失的原因不外乎是洗髮及梳理摩擦時導致蛋白質流失
胺基酸是蛋白質構成的基礎，所以更需要這樣產品！
我自己的髮質因長期染、燙","['麗仕', 'LUX', '熟知', '平價', '洗護', '近年', '推出', '不同', '如同', '沙龍', '洗護', '價格', '路份', '相當', '親民', '推出', 'LUXHair', 'Supplement', '補給', '機能', '日本', '可是', '日本', '職人', '黃金', '比例', '複合式', '胺基酸', '秀髮', '訂製', '蛋白', '胺基酸', '機能', '給予', '受損', '髮質', '補給', '髮絲', '營養', '修護', '髮絲', '蛋白質', '組成', '造成', '蛋白質', '流失', '原因', '不外乎', '梳理', '摩擦', '導致', '蛋白質', '流失', '胺基酸', '蛋白質', '構成', '基礎', '這樣', '髮質', '長期', '染燙']"
"一眼就先被外瓶身吸引住的設計，果然很有日系感，而且真的很少看見LUX麗仕出日本製的髮品，我這一系列是LUX Hair Supplement 角蛋白胺基酸洗髮精＆LUX Hair Supplement 角蛋白胺基酸潤髮乳。
本篇先分享角蛋白胺基酸洗髮精
說真的用這系列洗護髮前我的頭髮真的是很扁塌而且很毛躁超級期待這個LUX Hair Supplement 髮の補給機能飲，擁有嶄新成份標設計/醫美專業感，這不是我所認識的麗仕，整個日系風滿滿的而且是日本製造的唷！
如果前一晚睡覺我又綁頭髮的話我的頭髮真的是慘不","['瓶身', '吸引住', '設計', '果然', '日系感', '很少', '看見', 'LUX', '麗仕', '日本製', '髮品', 'LUX', 'Hair', 'Supplement', '角蛋白', '胺基酸', 'LUXHair', 'Supplement', '角蛋白', '胺基酸', '潤髮乳', '角蛋白胺基酸', '洗護髮', '扁塌', '毛躁', '超級', '期待', 'LUX', 'Hair', 'Supplement', '補給', '機能', '嶄新', '成份', '設計', '醫美', '專業感', '認識', '麗仕', '日系', '滿滿', '日本', '製造', '睡覺']"
"原本對於他家的洗髮精，覺得香味太重，
所以就很長一段時間沒再購買，
這次新出的這款洗髮精，
聞起來的香味沒有太重，
洗起來的感覺，也蠻容易起泡的，
沖的時候也蠻乾淨的。
洗完蠻清爽的，頭髮也蠻柔軟的。","['原本', '香味', '時間', '購買', '聞起來', '香味', '起泡', '乾淨', '清爽', '柔軟']"
"必須承認我就是AVEDA 的忠實粉絲~
固定在用且回購的都用到第2瓶以上的1000ml包裝，用到改款。
薄荷、純香、蘊活，這3個系列我誰都無法放棄，都3瓶隨侍在側，看狀況輪著用。
老實說蘊活改款後好難起泡真的很困擾。
但我又想改善掉髮狀況也還沒找到合用的新對象，只好繼續。
夏天分布是一周用4天薄荷，2天純香，1天蘊活。
冬天分布是一周用4天純香，2天偷懶沒洗，1天蘊活。
春秋就3天薄荷，3天純香，1天蘊活。
大概就是以上分布，然後看狀況作微調。
最近又新開發了一款蕾利歐的胡桃洗髮精，偶爾穿插使用。
純香的","['必須', '承認', '忠實', '粉絲', '固定', '回購', '用到', '包裝', '用到', '改款', '薄荷', '純香', '蘊活', '無法', '放棄', '隨侍在側', '狀況', '輪著', '老實說', '蘊活', '改款', '起泡', '困擾', '改善', '掉髮', '狀況', '找到', '合用', '對象', '只好', '繼續', '夏天', '分布', '薄荷', '純香', '蘊活', '冬天', '分布', '純香', '偷懶', '蘊活', '春秋', '薄荷', '純香', '蘊活', '大概', '分布', '然後', '狀況', '微調', '最近', '開發', '蕾利歐', '胡桃', '偶爾', '穿插', '純香']"
"香味度：★★★★☆
起泡度：★★★★☆
「角蛋白胺基酸洗髮精」淡淡的香味不會太過於濃烈
好起泡 泡泡算是濃密的。
擠出來是透明的，不是像那種白色乳液。
((按壓式設計-而且我覺得看的口還蠻大的，
我是長髮，使用量我覺得按一下就可以了!!|我都洗兩次頭喔|
洗起來我覺得算是舒服的，因為我洗錯洗髮產品我頭會癢
頭皮也沒有感到悶悶感
而且會比平常更容易出油。這罐洗髮產品 我使用起來沒有感到不適
就算單洗洗髮精，我覺得使用後不太會有乾澀感。","['香味', '度起', '泡度', '角蛋白', '胺基酸', '淡淡', '香味', '太過', '濃烈', '泡泡', '濃密', '擠出來', '透明', '白色', '乳液', '壓式', '設計', '長髮', '使用量', '舒服', '洗錯', '頭皮', '感到', '悶悶感', '平常', '感到', '不適', '乾澀感']"
"繼上次分享瓶中樹歐萊德咖啡因洗髮精後，這次又要來推坑大家另一款的洗髮精了。
這次要介紹的是也是歐萊德買很好系列的香檳玫瑰洗髮精，他主打的功能為護色洗髮精，因應我這次染髮，決心要好好保養，決定一次買兩罐交替使用，一罐就是上次介紹的咖啡因洗髮精，一罐就是這罐香檳玫瑰了🌹
商品說明
豐厚滋潤 亮麗飽滿
歐盟有機組織天然驗證起泡成分與玫瑰萃取精華，豐厚滋潤潔淨秀髮；更添加山葵根萃取，加強髮色飽滿亮麗，讓髮絲光澤富彈性。
取自於官網說明
可以看到它本身洗髮精為偏透明狀，輕輕搓洗後就可以起很多泡泡。
我自己很喜歡它天","['分享瓶', '中樹', '歐萊德', '咖啡因', '推坑', '介紹', '歐萊德', '香檳', '玫瑰', '功能', '護色', '因應', '染髮', '決心', '好好', '保養', '決定', '交替', '介紹', '咖啡因', '香檳', '玫瑰', '說明', '豐厚', '滋潤', '亮麗', '飽滿', '歐盟', '有機', '組織', '天然', '驗證', '起泡', '成分', '玫瑰', '萃取', '精華', '豐厚', '滋潤', '潔淨', '秀髮', '添加', '山葵根', '萃取', '加強', '髮色', '飽滿', '亮麗', '髮絲', '光澤', '彈性', '取自', '官網', '說明', '透明狀', '輕輕', '搓洗', '泡泡']"
"又是廣告惹的禍!
好吧~這個產品生薑洗髮精，洗了我臉書的版面，
所以因為自己髮量少...看能不能洗出個增量髮...
結果...並沒有，然後，因為他只是很好沖洗...
但是看似很好沖洗，其實沒有洗乾淨頭皮會發癢喔!!
裡面有顆粒，可能可以按摩頭皮什麼的，
香味是真的滿不錯，有點檸檬+生薑的味道，很清爽...
但是洗完真的感覺滿乾澀的...
但因為是頭髮在用...還是會把我買的一大罐用完...應該滿適合男生用...","['廣告', '好吧', '生薑', '臉書', '版面', '髮量', '能不能', '洗出', '量髮', '結果', '然後', '只是', '沖洗', '看似', '沖洗', '其實', '洗乾淨', '頭皮', '發癢', '裡面', '顆粒', '可能', '按摩', '頭皮', '香味', '不錯', '檸檬', '生薑', '味道', '清爽', '乾澀', '用完', '適合', '男生']"
"古寶無患子
九蒸九曝髮翳淨髮精華露 550g
這品名用字遣詞真難懂🤣
這款是在古寶無患子的臉書粉絲團看到
針對「易掉髮」跟「染燙髮」適用！
看到形容跟網路評價都不錯
就在藥妝店的網路通路購買
折扣後$139元入手
質地非常液態
流動性很高
容易起泡
香味非常重
原本以為會是漢方草本味道
沒想到是刺鼻花香味
剛開始聞有點刺鼻
之後就比較習慣這香味
目前連續使用近兩週時間
無論是單用這瓶洗髮
還是搭配原本就在使用的（澎鬆型）洗髮精
隔天早上髮根都是塌、塌、塌！
但優點是髮尾變柔順😂
但落髮狀況還是一樣沒有比較","['古寶', '無患子', '曝髮翳', '淨髮', '精華露', '品名', '用字', '遣詞', '難懂', '古寶', '無患子', '臉書', '粉絲團', '掉髮', '燙髮', '適用', '形容', '網路', '評價', '不錯', '藥妝店', '網路', '通路', '購買', '折扣', '入手', '質地', '液態', '流動性', '起泡', '香味', '原本', '漢方', '草本', '味道', '沒想到', '刺鼻', '花香味', '刺鼻', '習慣', '香味', '目前', '連續', '時間', '搭配', '原本', '澎鬆型', '隔天', '髮根', '塌塌', '優點', '髮尾', '柔順', '落髮', '狀況']"
"染髮的朋友一定要看這篇文ㄚ！！不看會後悔~~
長期都有在染髮,而且習慣用泡泡染來自己染,褪色速度也比一般染劑來的快,所以我就對護色洗髮精很注重。
之前很愛綠藤生機的護色洗髮精,它的護色效果很好,但女兒覺得會比較澀。
後來找到艾瑪花園這款真的是100分。
護色效果好,洗好滑順又蓬鬆,即使不用護髮也不打結。
接下來要說題外話了~
很多人會發現明明用了護色洗髮精還是褪色的很快,到底怎麼了?
問題就出在護髮乳！！
市面上有些果醋果酸型的護髮品絕對讓你褪色褪到懷疑人生,尤其韓國很紅的覆盆子果醋和8秒髮膜,絕對別在染","['染髮', '朋友', '一定', '後悔', '長期', '染髮', '習慣', '泡泡', '褪色', '速度', '染劑', '來的', '護色', '注重', '綠藤', '生機', '護色', '護色', '女兒', '後來', '找到', '艾瑪', '花園', '護色', '洗好', '滑順', '蓬鬆', '不用', '護髮', '打結', '接下來', '題外話', '發現', '明明', '護色', '褪色', '到底', '怎麼', '護髮乳', '市面', '果醋', '果酸', '護髮品', '褪色', '褪到', '懷疑', '人生', '尤其', '韓國', '覆盆子', '果醋', '髮膜']"
"會購入是因為看到屈臣氏在買一送一
加上看到評價都不錯
而且聽說透明的洗髮精才是沒有矽靈的
就買來試試囉
它的質地是透明的
原本以為會很難起泡
沒想到意外的好起泡
清潔力很夠
而且味道非常的香
聞到心情都好了起來
頭髮吹乾不會覺得很塌
就算是在夏天即使到隔天晚上頭髮還是不會塌也不會黏在頭皮上!!!
因為之前使用的洗髮乳到隔天中午就會出油很黏膩
看起來會很噁心很油
所以這點是我滿在意的部分
這瓶標榜防止頭髮褪色
但本身已經沒有在染髮了
所以這點看不出來效果
到目前為止我已經回購好幾次了","['購入', '屈臣氏', '評價', '不錯', '聽說', '透明', '矽靈', '買來', '質地', '透明', '原本', '沒想到', '意外', '起泡', '清潔力', '味道', '聞到', '心情', '吹乾', '夏天', '隔天', '晚上', '頭皮', '隔天', '中午', '黏膩', '看起來', '噁心', '在意', '標榜', '防止', '褪色', '已經', '染髮', '目前', '已經', '回購']"
"《適合偏油頭皮的抗屑洗髮精 - head&shoulders 海倫仙度絲 深層去屑洗髮露(去油淨澈)洗髮露 評比》
上一篇稍微講過了海倫仙度絲設計訂製去屑系列的背景，這次開場來講不太一樣的。
一覽架上的抗屑洗髮精，會關注洗髮精成分的消費者應該會發現：近 2 年 Climbazole 和 Piroctone Olamine 的使用率有逐年增加，同時 Zinc Pyrithione 其實有下降的趨勢，為什麼呢？
其實，早年海倫仙度絲也是用過 Zinc Pyrithione ，但由於這個成分被發現對於水生生物有","['適合', '偏油頭皮', 'headshoulders', '深層', '淨澈', '評比', '稍微', '設計', '訂製', '背景', '開場', '關注', '成分', '消費者', '發現', 'Climbazole', 'Piroctone', 'Olamine', '使用率', '逐年', '增加', '同時', 'Zinc', 'Pyrithione', '其實', '下降', '趨勢', '為什麼', '其實', '早年', 'Zinc', 'Pyrithione', '成分', '發現', '水生', '生物']"
"當初在FB看到Sandy推薦，腦波弱就買下去了
購買的是當時廣告推薦的三冠王組-水漾薔薇+淨平衡控油+茶樹抗屑洗髮精
還有加購水漾薔薇＋淨平衡護髮素
貪心如我，我一次把三罐洗髮精跟兩款護髮素打開放在浴室
每天根據頭髮狀況跟心情選妃使用
---
淨平衡洗髮露的香味很棒
木質調的香味舒服好聞，我很喜歡，男友喜歡，就讀國中的小姪女更愛
我頭髮很多很厚又很粗，每次洗頭一定要洗個兩次才確保乾淨
第一次洗大約會按三次，因為還沒清洗過的頭髮上會有油脂，泡泡沒那麼容易產生
第二次洗按兩次就可以搓出很多很多的泡泡
沖洗快速","['當初', 'FB', 'Sandy', '推薦', '腦波弱', '買下去', '購買', '當時', '廣告', '推薦', '三冠王組', '水漾', '薔薇', '平衡', '控油', '茶樹', '加購', '水漾', '薔薇', '平衡', '護髮素', '貪心', '護髮素', '浴室', '狀況', '心情', '選妃', '平衡', '香味', '木質調', '香味', '舒服', '男友', '就讀', '國中', '姪女', '洗頭', '一定', '確保', '乾淨', '清洗', '油脂', '泡泡', '那麼', '產生', '搓出', '泡泡', '沖洗', '快速']"
